Reaction Name,Reaction Formula,Relative Flux
GlycP,Mal4 + Pi <=> G1P + Mal3 ,1
GPM,G1P <=> G6P ,1
PGI,G6P <=> F6P ,1
PPiPFK,F6P + PPi <=> Pi + FBP ,1
FBPald,FBP <=> DHAP + G3P ,1
TPI,DHAP <=> G3P ,1
GAPDH,Pi + G3P + NAD <=> BPG + NADH ,2
PGK,BPG + ADP <=> P3G + ATP ,2
PGM,P3G <=> P2G ,2
ENO,P2G <=> PEP + H2O ,2
PYK,ADP + PEP <=> ATP + PYR ,2
PDH,NAD + PYR + CoA <=> NADH + AcCoA + CO2 ,2
ACS,ATP + CoA + Ace <=> PPi + AcCoA + AMP ,6
PPiase,PPi + H2O <=> 2 Pi ,5
Thio,2 AcCoA <=> CoA + AACoA ,4
AAR,NADH + AACoA <=> NAD + HBCoA ,4
