Reaction Formula,Relative Flux,Reaction Name
ADP + PolyPP <=> ATP + PolyP ,0.5,ADPPPT
AMP + PolyPP <=> ADP + PolyP ,1.46482344279367,AMPPPT
Mal4 + Pi <=> G1P + Mal3 ,0.261725519068776,GlycP
G1P <=> G6P ,0.261725519068776,GPM
G6P <=> F6P ,0.261725519068776,PGI
F6P + PPi <=> Pi + FBP ,0.25,PPiPFK
FBP <=> DHAP + G3P ,0.25,FBPald
DHAP <=> G3P ,0.238274480931224,TPI
Pi + G3P + NAD <=> BPG + NADH ,0.464823442793673,GAPDH
BPG + ADP <=> P3G + ATP ,0.464823442793673,PGK
F6P + G3P <=> X5P + E4P ,0.0117255190687758,TktA
DHAP + E4P <=> SBP ,0.0117255190687758,SBPald
H2O + SBP <=> Pi + S7P ,0.0117255190687758,SBPase
G3P + S7P <=> X5P + Ri5P ,0.0117255190687758,TktB
X5P <=> Ru5P ,0.0234510381375516,RibE
Ri5P <=> Ru5P ,0.0117255190687758,RibI
ATP + Ru5P <=> ADP + RBP ,0.0351765572063274,RbuK
H2O + CO2 + RBP <=> 2 P3G ,0.0351765572063274,RbuCO
P3G <=> P2G ,0.535176557206327,PGM
P2G <=> PEP + H2O ,0.535176557206327,ENO
ADP + PEP <=> ATP + PYR ,0.535176557206327,PYK
NAD + PYR + CoA <=> NADH + AcCoA + CO2 ,0.535176557206327,PDH
ATP + CoA + Ace <=> PPi + AcCoA + AMP ,1.46482344279367,ACS
PPi + H2O <=> 2 Pi ,1.21482344279367,PPiase
2 AcCoA <=> CoA + AACoA ,1,Thio
NADH + AACoA <=> NAD + HBCoA ,1,AAR
HBCoA + HB <=> CoA + PHB ,1,PHBsyn
