Reaction_Name,EC_number,MW,kcat
ACS,6.2.1.1,69540,21.338461538461537
GlycP,2.4.1.1,95773,40.922444444444444
PPiPFK,2.7.1.90,60300,205.875
PGK,2.7.2.3,42183,1038.5625
PYK,2.7.9.1,50000,49.0
RbuK,2.7.1.19,32654,793.1595443011151
Thio,2.3.1.9,40554,162.99
TktA,2.2.1.1,69778,36.1858
TktB,2.2.1.1,69778,36.1858
ADPPPT,2.7.4.1,59967,36.03333333333333
AMPPPT,2.7.4.33,59967,232.95224074074073
PHBsyn,2.3.1.304,40848,238.11290325
ENO,4.2.1.11,44024,12699.304487326734
FBPald,4.1.2.13,38765,15.709416666666666
RbuCO,4.1.1.39,48364,4.9225
SBPald,4.1.2.13,38900,15.709416666666666
SBPase,3.1.3.37,38691,11392.875460992907
AAR,1.1.1.36,25356,300.0
GAPDH,1.2.1.12,35849,45.242000000000004
PDH,1.2.1.104,208567,61.820283333333336
GPM,5.4.2.2,58606,126.8
PGI,5.3.1.9,59463,851.6
PGM,5.4.2.11,58833,141.29076923076926
RibE,5.1.3.1,24821,2114.0276
RibI,5.3.1.6,22892,9930.4
TPI,5.3.1.1,26580,6956.233333333334
