Reaction_Name,EC_number,MW,kcat
ACS,6.2.1.1,69540,9.1
GlycP,2.4.1.1,95773,50.5
PPiPFK,2.7.1.90,60300,204.0
PGK,2.7.2.3,42183,570.0
PYK,2.7.9.1,50000,53.0
RbuK,2.7.1.19,32654,6.08
Thio,2.3.1.9,40554,29.5
TktA,2.2.1.1,69778,45.0
TktB,2.2.1.1,69778,45.0
ADPPPT,2.7.4.1,59967,23.6
AMPPPT,2.7.4.33,59967,96.5
PHBsyn,2.3.1.304,40848,5.23
ENO,4.2.1.11,44024,10.3
FBPald,4.1.2.13,38765,8.035
RbuCO,4.1.1.39,48364,3.5
SBPald,4.1.2.13,38900,8.035
SBPase,3.1.3.37,38691,30.4
AAR,1.1.1.36,25356,300.0
GAPDH,1.2.1.12,35849,50.0
PDH,1.2.1.104,208567,18.2
GPM,5.4.2.2,58606,126.8
PGI,5.3.1.9,59463,34.0
PGM,5.4.2.11,58833,60.85
RibE,5.1.3.1,24821,1300.0
RibI,5.3.1.6,22892,848.5
TPI,5.3.1.1,26580,4435.0
