Reaction Formula,Relative Flux,Reaction Name
ADP + PolyPP <=> ATP + PolyP ,1.91039835083338,ADPPPT
AMP + PolyPP <=> ADP + PolyP ,5.59679257875022,AMPPPT
Mal4 + Pi <=> G1P + Mal3 ,1,GlycP
G1P <=> G6P ,1,GPM
G6P <=> F6P ,1,PGI
F6P + PPi <=> Pi + FBP ,0.955199175416691,PPiPFK
FBP <=> DHAP + G3P ,0.955199175416691,FBPald
DHAP <=> G3P ,0.910398350833381,TPI
Pi + G3P + NAD <=> BPG + NADH ,1.77599587708345,GAPDH
BPG + ADP <=> P3G + ATP ,1.77599587708345,PGK
F6P + G3P <=> X5P + E4P ,0.0448008245833093,TktA
DHAP + E4P <=> SBP ,0.0448008245833093,SBPald
H2O + SBP <=> Pi + S7P ,0.0448008245833093,SBPase
G3P + S7P <=> X5P + Ri5P ,0.0448008245833093,TktB
X5P <=> Ru5P ,0.0896016491666187,RibE
Ri5P <=> Ru5P ,0.0448008245833093,RibI
ATP + Ru5P <=> ADP + RBP ,0.134402473749928,RbuK
H2O + CO2 + RBP <=> 2 P3G ,0.134402473749928,RbuCO
P3G <=> P2G ,2.04480082458331,PGM
P2G <=> PEP + H2O ,2.04480082458331,ENO
ADP + PEP <=> ATP + PYR ,2.04480082458331,PYK
NAD + PYR + CoA <=> NADH + AcCoA + CO2 ,2.04480082458331,PDH
ATP + CoA + Ace <=> PPi + AcCoA + AMP ,5.59679257875022,ACS
PPi + H2O <=> 2 Pi ,4.64159340333353,PPiase
2 AcCoA <=> CoA + AACoA ,3.82079670166676,Thio
NADH + AACoA <=> NAD + HBCoA ,3.82079670166676,AAR
HBCoA + HB <=> CoA + PHB ,3.82079670166676,PHBsyn
