Protein,Abundance
AAR,0.00023908402409246221
ACS,0.0002879481140145998
ALD,0.00012001860728801676
ENO,2.69937410399646e-05
GAPDH,0.00022446998234385772
GPM,4.205612694769226e-05
GlycP,5.0557684874402725e-05
PDH,9.525472778476479e-05
PGI,1.5701380814607103e-05
PGK,0.00012277863551497152
PGM,1.86242933649282e-05
PHBsyn,7.27455673163595e-05
PPT,4.9198167595333945e-05
PPiPFK,3.507968860146507e-05
PYK,9.40496304378399e-06
RbuCO,1.9469903010992146e-05
RbuK,7.270726335460985e-06
RibE,2.483835206689978e-06
RibI,1.161984501321164e-06
SBPase,8.485427941833999e-06
TKT,9.382188779871214e-06
TPI,0.00012277863551497152
Thio,0.0004133394420602369
