Protein,Cytoplasmic concentration (µM)
AAR,239.08402409246222
ACS,287.9481140145998
ALD,120.01860728801677
ENO,26.9937410399646
GAPDH,224.4699823438577
GPM,42.056126947692256
GlycP,50.557684874402725
PDH,95.2547277847648
PGI,15.701380814607104
PGK,122.77863551497153
PGM,18.6242933649282
PHBsyn,72.7455673163595
PPT,49.19816759533394
PPiPFK,35.079688601465065
PYK,9.40496304378399
RbuCO,19.469903010992144
RbuK,7.270726335460985
RibE,2.483835206689978
RibI,1.161984501321164
SBPase,8.485427941833999
TKT,9.382188779871214
TPI,122.77863551497153
Thio,413.33944206023693
