Reaction_Name,EC_number,MW
ACS,6.2.1.1,69540
GlycP,2.4.1.1,95773
PPiPFK,2.7.1.90,60300
PGK,2.7.2.3,42183
PYK,2.7.9.1,50000
RbuK,2.7.1.19,32654
Thio,2.3.1.9,40554
TktA,2.2.1.1,69778
TktB,2.2.1.1,69778
ADPPPT,2.7.4.1,59967
AMPPPT,2.7.4.33,59967
PHBsyn,2.3.1.304,40848
ENO,4.2.1.11,44024
FBPald,4.1.2.13,38765
RbuCO,4.1.1.39,48364
SBPald,4.1.2.13,38900
SBPase,3.1.3.37,38691
AAR,1.1.1.36,25356
GAPDH,1.2.1.12,35849
PDH,1.2.1.104,208567
GPM,5.4.2.2,58606
PGI,5.3.1.9,59463
PGM,5.4.2.11,58833
RibE,5.1.3.1,24821
RibI,5.3.1.6,22892
TPI,5.3.1.1,26580
