protein,MW
AAR,25356
ADPPPT,59967
AMPPPT,59967
PYK,50000
RbuCO,48364
SBPald,38900
RibE,24821
PGM,58833
PDH,208567
GAPDH,35849
TktA,69778
TktB,69778
PHBsyn,40848
Thio,40554
GlycP,95773
ATPPFK,60187
RbuK,32654
PGK,42183
SBPase,38691
FBPald,38765
ENO,44024
TPI,26580
RibI,22892
PGI,59463
GPM,58606
ACS,69540
